1;1000.00;2026-01-15;Salary;January salary;Income
2;150.00;2026-01-16;Food and Groceries;Weekly groceries;Expense
3;50.00;2026-01-17;Transport;Monthly bus pass;Expense
4;200.00;2026-01-18;Restaurants and Cafes;Dinner with friends;Expense
5;500.00;2026-01-20;Freelance;Website design project;Income
6;80.00;2026-01-21;Utilities;Electricity bill;Expense
7;30.00;2026-01-22;Subscriptions;Netflix subscription;Expense
8;120.00;2026-01-23;Food and Groceries;Supermarket shopping;Expense
9;1000.00;2026-02-01;Salary;February salary;Income
10;60.00;2026-02-03;Transport;Taxi rides;Expense
11;90.00;2026-02-05;Food and Groceries;Groceries;Expense
12;200.00;2026-02-07;Healthcare;Dentist visit;Expense
13;15.00;2026-02-08;Subscriptions;Spotify subscription;Expense
14;300.00;2026-02-10;Clothing;Winter jacket;Expense
15;250.00;2026-02-14;Restaurants and Cafes;Valentines day dinner;Expense
16;100.00;2026-02-15;Gift;Birthday gift from friend;Income
17;1000.00;2026-03-01;Salary;March salary;Income
18;175.00;2026-03-03;Food and Groceries;Weekly groceries;Expense
19;45.00;2026-03-05;Transport;Bus pass;Expense
20;60.00;2026-03-07;Subscriptions;Adobe subscription;Expense
21;350.00;2026-03-10;Electronics;Keyboard;Expense
22;200.00;2026-03-12;Freelance;Logo design;Income
23;80.00;2026-03-15;Restaurants and Cafes;Lunch with colleagues;Expense
24;150.00;2026-03-18;Healthcare;Physiotherapy;Expense
25;1000.00;2026-04-01;Salary;April salary;Income
26;130.00;2026-04-03;Food and Groceries;Groceries;Expense
27;50.00;2026-04-05;Transport;Bus pass;Expense
28;400.00;2026-04-08;Travel;Weekend trip to Brno;Expense
29;30.00;2026-04-10;Subscriptions;Netflix subscription;Expense
30;180.00;2026-04-12;Restaurants and Cafes;Easter dinner;Expense
31;500.00;2026-04-15;Bonus;Work performance bonus;Income
32;90.00;2026-04-18;Sports and Fitness;Gym membership;Expense
33;1000.00;2026-05-01;Salary;May salary;Income
34;160.00;2026-05-02;Food and Groceries;Weekly groceries;Expense
35;45.00;2026-05-03;Transport;Bus pass;Expense
36;300.00;2026-05-04;Clothing;Summer clothes;Expense
37;15.00;2026-05-05;Subscriptions;Spotify subscription;Expense
38;250.00;2026-05-06;Freelance;Social media management;Income
39;70.00;2026-05-07;Restaurants and Cafes;Coffee and lunch;Expense
40;120.00;2026-05-08;Sports and Fitness;Tennis lessons;Expense